row,sen_number,participant
142,2024SIR0012410,Caroline Detention Facility (CDF)
143,2024SIR0012416,ERO Washington
143,2024SIR0012416,Immigration Centers of America (ICA)
144,2024SIR0012509,ERO Miami
144,2024SIR0012509,ICE Health Service Corps (IHSC)
144,2024SIR0012509,Krome Service Processing Center (KSPC)
145,2024SIR0012478,ERO San Antonio
145,2024SIR0012478,ICE Health Service Corps (IHSC)
145,2024SIR0012478,T. Don Hutto Detention Center (TDHDC)
146,2024SIR0012572,ERO Philadelphia
146,2024SIR0012572,Moshannon Valley Processing Center (MVPC)
147,2024SIR0012590,ERO St Paul
147,2024SIR0012590,ICE Health Service Corps (IHSC)
147,2024SIR0012590,Kandiyohi County Jail (KCJ)
148,2024SIR0012651,ERO Miami
148,2024SIR0012651,ICE Health Service Corps (IHSC)
148,2024SIR0012651,Krome Service Processing Center (KSPC)
149,2024SIR0012586,ERO San Antonio
149,2024SIR0012586,ICE Health Service Corps (IHSC)
149,2024SIR0012586,T. Don Hutto Detention Center (TDHDC)
150,2024SIR0012752,ERO Miami
150,2024SIR0012752,ICE Health Service Corps (IHSC)
150,2024SIR0012752,Krome Service Processing Center (KSPC)
151,2024SIR0012780,ERO Miami
151,2024SIR0012780,ICE Health Service Corps (IHSC)
151,2024SIR0012780,Krome Service Processing Center (KSPC)
152,2024SIR0012765,ERO Philadelphia
152,2024SIR0012765,Moshannon Valley Processing Center (MVPC)
153,2024SIR0012801,ERO Phoenix
153,2024SIR0012801,ICE Health Service Corps (IHSC)
153,2024SIR0012801,Eloy Detention Center (EDC)
154,2024SIR0012796,ERO San Antonio
154,2024SIR0012796,South Texas ICE Processing Center (STIPC)
155,2024SIR0012792,ERO San Antonio
155,2024SIR0012792,ICE Health Service Corps (IHSC)
155,2024SIR0012792,South Texas ICE Processing Center (STIPC)
155,2024SIR0012792,Frio Regional Hospital (FRH)
156,2024SIR0012879,ERO Phoenix
156,2024SIR0012879,Eloy Detention Center (EDC)
157,2024SIR0012849,ERO Phoenix
157,2024SIR0012849,ICE Health Service Corps (IHSC)
157,2024SIR0012849,Eloy Detention Center (EDC)
158,2024SIR0012902,ERO San Antonio
158,2024SIR0012902,ICE Health Service Corps (IHSC)
158,2024SIR0012902,South Texas ICE Processing Center (STIPC)
159,2024SIR0012977,ERO Harlingen
159,2024SIR0012977,El Valle Detention Facility (EVDF)
160,2024SIR0012949,ERO Miami
160,2024SIR0012949,ICE Health Service Corps (IHSC)
160,2024SIR0012949,Krome Service Processing Center (KSPC)
161,2024SIR0013083,ERO El Paso
161,2024SIR0013083,Torrance County Detention Facility (TCDF)
162,2024SIR0013082,ERO New Orleans
162,2024SIR0013082,Alexandria Staging Facility (ASF)
163,2024SIR0013090,ERO Philadelphia
163,2024SIR0013090,Moshannon Valley Processing Center (MVPC)
164,2024SIR0007952,ERO San Antonio
164,2024SIR0007952,South Texas ICE Processing Center (STIPC)
164,2024SIR0007952,ICE Health Service Corps (IHSC)
165,2024SIR0007978,ERO Phoenix
165,2024SIR0007978,ICE Health Service Corps (IHSC)
165,2024SIR0007978,Eloy Detention Center (EDC)
166,2024SIR0008021,ERO Harlingen
166,2024SIR0008021,El Valle Detention Facility (EVDF)
167,2024SIR0008048,ERO Philadelphia
167,2024SIR0008048,ERO Miami
167,2024SIR0008048,Krome Service Processing Center (KSPC)
167,2024SIR0008048,ICE Health Service Corps (IHSC)
168,2024SIR0008095,ERO Miami
168,2024SIR0008095,Baker County Sheriff's Office (BCSO)
168,2024SIR0008095,Baker County Detention Center (BCDC)
169,2024SIR0008098,ERO San Antonio
169,2024SIR0008098,ICE Health Service Corps (IHSC)
169,2024SIR0008098,T. Don Hutto Detention Center (TDHDC)
170,2024SIR0008220,ERO El Paso
170,2024SIR0008220,El Paso Processing Center (EPC)
170,2024SIR0008220,ICE Health Service Corps (IHSC)
171,2024SIR0008096,ERO York
171,2024SIR0008096,ERO Philadelphia
171,2024SIR0008096,Moshannon Valley Processing Center (MVPC)
172,2024SIR0008267,ERO El Paso
172,2024SIR0008267,Otero County Processing Center (OCPC)
173,2024SIR0008278,ERO Miami
173,2024SIR0008278,Krome Service Processing Center (KSPC)
173,2024SIR0008278,ICE Health Service Corps (IHSC)
174,2024SIR0008289,ERO Dallas
174,2024SIR0008289,Prairieland Detention Center (PDC)
175,2024SIR0008285,ERO El Paso
175,2024SIR0008285,El Paso Processing Center (EPC)
175,2024SIR0008285,ICE Health Service Corps (IHSC)
176,2024SIR0008328,ERO Harlingen
176,2024SIR0008328,El Valle Detention Facility (EVDF)
177,2024SIR0008290,ERO San Antonio
177,2024SIR0008290,South Texas ICE Processing Center (STIPC)
177,2024SIR0008290,ICE Health Service Corps (IHSC)
178,2024SIR0008321,ERO Atlanta
178,2024SIR0008321,Stewart Detention Center (SDC)
179,2024SIR0008335,ERO San Antonio
179,2024SIR0008335,South Texas ICE Processing Center (STIPC)
179,2024SIR0008335,ICE Health Service Corps (IHSC)
180,2024SIR0008348,ERO San Antonio
180,2024SIR0008348,South Texas ICE Processing Center (STIPC)
180,2024SIR0008348,ICE Health Service Corps (IHSC)
181,2024SIR0008452,ERO Miami
181,2024SIR0008452,ICE Health Service Corps (IHSC)
181,2024SIR0008452,Krome Service Processing Center (KSPC)
182,2024SIR0008454,ERO Miami
182,2024SIR0008454,Krome Service Processing Center (KSPC)
182,2024SIR0008454,ICE Health Service Corps (IHSC)
183,2024SIR0008547,ERO Miami
183,2024SIR0008547,Krome Service Processing Center (KSPC)
